Vanvard	VANPN
-	-
Umframt	DN
tungu	APWFSA
ferðsluna	SFSAA
,	,
sum	CR
koyrir	VNPS3
við	ED
gróti	SNSD
,	,
koyra	VNPP3
bilar	SMPN
við	ED
ruski	SNSD
gjøgnum	EA
bygdina	SFSAA
og	C
bilar	SMPN
,	,
sum	CR
koma	VNPP3
við	ED
høvdum	SNPD
og	C
eftir	ED
høvdum	SNPD
av	ED
Høvdavirkinum	SNSDA
,	,
sigur	VNPS3
leirvíkingur	SMSN

Lesarin	SMSNA
í	ED
Leirvík	SFSDL
vísir	VNPS3
á	DN
,	,
at	CI
tað	PNSN
er	VNPS3
ikki	DN
bara	DN
koyringin	SFSNA
úr	ED
undirsjóvartunlinum	SMSDA
,	,
sum	CR
órógvar	VNPS3
leirvíkingar	SMPA
,	,
sum	CR
búgva	VI
við	EA
vegin	SMSAA
,	,
har	DN
tann	PDFSN
nógva	APWFSN
ferðslan	SFSNA
gongur	VNPS3
.	.

Ikki	DN
minst	DSN
hava	VNPP3
sumbingar	SMPN
gingið	VA
á	ED
odda	SMSD
at	C
varðveitt	VA
hendan	PDMSA
siðaarvin	SMSAA
.	.

Bárður	SMSNP
Nielsen	SXP
,	,
fíggjarmálaráðharri	SMSN
,	,
og	C
Føroya	SFPGL
Landsstýri	SNSN
hava	VNPP3
verið	VA
fyri	ED
atfinningum	SFPD
,	,
nú	DN
uppskot	SNSN
er	VNPS3
lagt	VANSN
fyri	EA
tingið	SNSAA
viðvíkjandi	ED
eigara	SNPD
-	-
og	C
kapitalviðurskiftunum	SNPD
í	ED
Føroya	SFPGL
Banka	SMSD
.	.

-	-
Tann	PDMSN
týdningarmesti	ASWMSN
parturin	SMSNA
av	ED
hesi	PDFSD
tilgongdini	SFSDA
er	VNPS3
,	,
at	C
allir	APSMPN
partar	SMPN
eru	VNPP3
samdir	APSMPN
.	.

Tískil	DN
fer	VNPS3
tann	PDMSN
ótryggleikin	SMSNA
hjá	ED
íleggjarum	SMPDA
helst	DSN
at	CI
virka	VI
fyri	ED
,	,
at	C
eftirspurningurin	SMSNA
verður	VNPS3
minni	DCN
og	C
prísurin	SMSNA
tískil	DN
lægri	ACSMSN
.	.

Mats	SMSNP
Johansen	SXP
,	,
sum	CR
byrjaði	VNAS3
at	CI
skera	VI
toskatungur	SFPA
í	ED
2003	NC
,	,
hevur	VNPS3
tjent	VA
sær	PMSD
nógvar	APSFPA
túsund	NC
krónur	SFPA
,	,
síðan	DN
hann	PMSN
fór	VNAS3
undir	EA
hetta	PDNSA
virksemið	SNSAA
,	,
skrivar	VNPS3
Lofotposten	F
.	.

Magnussen	SXP
og	C
Any	SFSAP
Strøm	SXP
.	.

Men	C
hetta	PDNSN
er	VNPS3
bara	DN
fyrsta	ASWNSN
stigið	SNSNA
,	,
tí	C
ætlanin	SFSNA
er	VNPS3
at	CI
byggja	VI
virkið	SNSAA
út	DN
í	ED
fleiri	ACWNPD
stigum	SNPD
,	,
so	DN
at	CI
tað	PNSN
eisini	DN
ber	VNPS3
til	EN
at	CI
gagnnýta	VI
fiskaryggirnar	SMPAA
og	C
skræðuna	SFSAA
.	.

Hinvegin	DN
hava	VNPP3
teir	PMPN
eisini	DN
hugsað	VA
um	EA
framtíðina	SFSAA
,	,
tí	C
ætlanin	SFSNA
er	VNPS3
at	CI
byggja	VI
virkið	SNSAA
út	DN
so	DN
við	EN
og	C
við	EN
og	C
teir	PMPN
hava	VNPP3
keypt	VA
húsið	SNSAA
so	DN
mikið	DA
stórt	APSNSA
,	,
at	CI
pláss	SNSN
skal	VNPS3
fyri	ED
øllum	APWNSD
virkseminum	SNSDA
undir	ED
sama	APSNSD
taki	SNSD
.	.

Annað	NONPA
stigið	SNSAA
verður	VNPS3
at	CI
byggja	VI
virkið	SNSAA
út	DN
til	EA
at	CI
gera	VI
gelatinu	SFSA
burturúr	DD
fiskaskræðu	SFSD
,	,
og	C
at	CI
gera	VI
proteinur	SFPA
og	C
kanska	DN
eisini	DN
mineralir	SNSA
burturúr	DD
fiskaryggjum	SMSD
.	.

Tí	C
eigur	VNPS3
landið	SNSNA
at	CI
eggja	VI
skipum	SNPD
at	CI
taka	VI
slógvið	SNSAA
til	EG
høldar	SX
í	EA
tann	PDMSA
mun	SMSA
,	,
keypari	SMSN
er	VNPS3
tað	PNSA
.	.

Ov	DN
spakuliga	DN
lýsir	VNPS3
í	ED
eystri	SMSD

Aftur	DN
í	EA
ár	SNSA
fer	VNPS3
Havnar	SFSGL
Arbeiðsmannafelag	SNSN
at	CI
skipa	VI
fyri	ED
1	NONSD
.	.

Hinir	PDMPN
báðir	PIMPN
verða	VNPP3
Jógvan	SMSNP
Arge	SXP
,	,
býráðslimur	SMSN
í	ED
Havn	SFSDL
,	,
og	C
Kristian	SMSNP
Magnussen	SXP
,	,
løgtingsmaður	SMSN
.	.

maidagshaldini	SNPAA
gerst	VEPS3
betri	DCN
.	.

Hon	PFSN
segði	VNAS3
,	,
at	C
tá	C
ið	C
tann	PDMSA
flokkurin	SMSNA
,	,
sum	CR
byrjaði	VNAS3
á	ED
skúlanum	SMSDA
í	ED
Suðuroy	SFSDL
í	ED
apríl	SMSN
í	ED
ár	SNSD
,	,
er	VNPS3
liðugur	APSMSN
,	,
eru	VNPP3
tveir	NCMPA
flokkar	SMPA
eftir	DN
at	CI
uppskúla	VI
.	.

Eftir	EN
at	CI
hava	VI
biðið	VA
um	EA
poltiiskt	APSNSA
friðskjól	SNSA
her	DN
,	,
vórðu	VNAP3
tey	PNPN
send	VANPN
við	ED
flogfari	SNSD
til	EG
Danmarkar	SNSGL
.	.

Hesi	PDNPN
fólkini	SNPNA
tóktust	VEAP3
bangin	APSNPN
,	,
og	C
lítið	DN
meira	DCN
fekst	VEAS3
burtur	DN
úr	ED
teimum	PNPD
,	,
tá	C
tey	PNPN
saman	DN
við	ED
fýra	NCMPD
politistum	SMPD
høvdu	VNAP3
skrivað	VA
seg	PNSA
inn	DN
við	EA
diskin	SMSAA
hjá	ED
Atlantsflogi	SNSD
.	.

Upprunaliga	APSFSN
tíðarætlanin	SFSNA
segði	VNAS3
annars	DN
,	,
at	C
bygningurin	SMSNA
ikki	DN
bleiv	VNAS3
liðugur	APSMSN
fyrr	DCN
enn	DN
einaferð	DN
í	EA
heyst	SNSA
.	.

Viðvíkjandi	ED
gamla	APWMSD
bygninginum	SMSDA
hjá	ED
Føroya	SFPGL
Tele	F
,	,
sum	CR
stendur	VNPS3
beint	DN
niðan	DN
fyri	EA
nýggja	APWMSA
bygningin	SMSAA
,	,
sigur	VNPS3
Andras	SMSNP
Róin	SXP
,	,
at	C
enn	DN
er	VNPS3
ikki	DN
avgjørt	VANSN
,	,
hvat	PNSN
fer	VNPS3
at	CI
henda	VI
við	ED
honum	PMSD
.	.

Óli	SMSNP
Samró	SXP
setti	VNAS3
ein	PIMSA
støkk	SMSA
í	EA
bæði	DA
íslendskar	APSMPA
og	C
norskar	APSMPA
reiðarar	SMPA
tá	C
hann	PMSN
í	ED
2000	NC
legði	VNAS3
fram	DN
sínar	PMSG
fyrstu	APWMPA
metingar	SMPAA
av	ED
hvussu	DN
fiskivinnan	SFSNA
virkar	VNPS3
í	ED
Íslandi	SNSDL
,	,
Føroyum	SFPDL
og	C
í	ED
Norra	SNSDL
.	.

Óli	SMSNP
Samró	SXP
sigur	VNPS3
at	C
tann	PDMSN
veruleikin	SMSNA
allir	APSMPN
fiskimenn	SMPN
í	EA
dag	SMSA
liva	VNPP3
undir	EN
er	VNPS3
ein	PIFSN
globaliserað	APSFSN
verð	SFSN
,	,
og	C
tá	C
mugu	VNPP1
vit	P1PN
leggja	VNPP1
okkum	P1PA
eftir	ED
tí	PNSD
.	.

Norskir	APSMPN
reiðarar	SMPN
skiltu	VNAP3
heldur	DCN
ikki	DN
rættiliga	DN
hvat	PNSN
tað	PNSN
var	VNAS3
hesin	PDMSN
fíggjarfrøðingurin	SMSNA
fekst	VEAS3
við	EN
.	.

Hetta	PDNSN
er	VNPS3
eisini	DN
ein	PIFSN
orsøk	SFSN
til	EN
at	C
umboð	SNPA
fyri	EA
eini	PINPA
25	NC
fiskivinnutjóðir	SFPN
koma	VI
til	EA
Føroyar	SFPAL
á	EA
ráðstevnuna	SFSAA
.	.

Fríggjadagin	SMSNA
fyri	EA
hvítusunnu	SFSA
var	VNAS3
samkoma	SFSN
í	ED
nýggju	APWNPD
tryggingarhølunum	SNPDA
í	ED
Sandavági	SMSDL
.	.

á	ED
økinum	SNSDA
uttan	DN
fyri	EA
bygningin	SMSAA
var	VNAS3
undirhald	SNSN
við	ED
klovnum	SMPD
og	C
búktalarum	SMPD
,	,
sum	C
børnini	SNPNA
í	ED
dagstovnunum	SMPDA
í	ED
Vágum	SFPDL
stuttleikaðu	VNAP3
sær	PMSD
óført	DN
saman	DN
við	EN
.	.

Men	C
enn	DN
hava	VNPP1
vit	P1PN
ikki	DN
havt	VA
nakað	PINSA
liggjandi	VP
summarveður	SNSA
at	CI
tosa	VI
um	EN
.	.

Nógv	APSNSN
stákan	SFSNA
var	VNAS3
í	ED
bygdini	SFSDA
,	,
og	C
fólk	SNPN
vóru	VNAP3
í	ED
góðum	APSMSD
hýri	SMSD
.	.

Veiðan	SFSNA
hevði	VNAS3
neyvan	DN
verið	VA
tann	PDFSN
stóra	APWFSN
,	,
tí	C
eingin	PIMSN
veiddur	APSMSN
fiskur	SMSN
sást	VE
á	ED
flótibrúnni	SFSDA
.	.

Teir	PMPN
hildu	VNAP3
,	,
at	C
hetta	PDNSA
er	VNPS3
fiskur	SMSN
,	,
sum	CR
er	VNPS3
sloppin	VAMSN
út	DN
úr	ED
aliringum	SMPD
á	ED
fjørðinum	SMSDA
.	.

Omanfyri	DA
húsið	SNSAA
er	VNPS3
økið	SNSNA
vakurt	APSNSN
og	C
hugnaligt	APSNSN
,	,
og	C
einki	PINSN
er	VNPS3
at	CI
taka	VI
seg	PMSA
aftur	DN
í	ED
,	,
at	C
Fuglafjørður	SMSNL
við	ED
hesum	PDNSD
hevur	VNPS3
fingið	VA
ein	PIMSA
snotuligan	APSMSA
miðbý	SMSA
.	.

Har	DN
hittu	VNAP1
vit	P1PN
eisini	DN
húsavørðin	SMSAA
,	,
sum	CR
fekst	VEPS3
við	EA
at	CI
hanga	VNPS3
málningarnar	SMPAA
upp	DN
á	EA
veggin	SMSAA
.	.

Hetta	PDNSN
tiltak	SNSN
,	,
sum	CR
meira	DCN
er	VNPS3
at	CI
lesa	VI
um	EN
í	ED
blaðnum	SNSDA
í	EA
dag	SMSA
,	,
fevnir	VNPS3
eitt	PINSN
nú	DN
um	EA
ljóð	SNSA
,	,
sang	SMSA
og	C
tónleik	SMSA
-	-
ella	C
,	,
sum	CR
fuglfirðingar	SMPN
sjálvir	APSMPN
rópa	VNPP3
tað	PNSA
:	:
Menniskja	SNSN
í	ED
ævintýrum	SNPD
og	C
søgnum	SFPD
-	-
eitt	PINSN
norðurlendskt	APSNSN
samtak	SNSN
.	.

Eina	PIFSA
tíð	SFSA
framyvir	DN
fer	VNPS3
Sjónvarp	SNSN
Føroya	SFPGL
at	CI
senda	VI
tíðindasendingina	SFSAA
,	,
Dag	SMSA
og	C
viku	SFSA
,	,
klokkan	SFSNA
19	NOMSA
ístaðin	DN
fyri	EN
klokkan	SFSNA
20	NC

Sundabáturin	SMSNA
kom	VNAS3
best	DSN
frá	ED
startinum	SMSDA
.	.

Sangurin	SMSNA
hjá	ED
Sundabátinum	SMSDA
ljóðaði	VNAS3
um	EA
allar	APSFPA
geilar	SFPA
,	,
og	C
sum	CR
vera	VI
man	VNPS3
var	VNAS3
lagið	SNSNA
gott	APSNSN
.	.

Aftaná	DA
fyrstu	APWFSA
spreingingina	SFSAA
tíðliga	DA
seinnapartin	SMSAA
fór	VNAS3
grót	SNSN
um	EA
alla	APWFSA
bygdina	SFSAA
,	,
og	C
tá	DN
var	VNAS3
onki	PINSN
ávaringarljóð	SNSN
.	.

Undir	EA
Sumbiarbjørgini	SNPAA
við	ED
Johannu	SFSDP

Síðani	DN
siglir	VNPS3
Johanna	SFSNP
aftur	DN
til	EG
Vágs	SMSGL
við	ED
ferðafólkunum	SNPDA
.	.

Leygardagin	SMSAA
er	VNPS3
møguleiki	SMSN
at	CI
vitja	VI
Hovgrímsgrøv	SFSA
.	.

Bussur	SMSN
koyrir	VNPS3
kl.	T
12.30	NC
aftur	DN
til	EA
Kunningarstovurnar	SFSAA
á	ED
Tvøroyri	SFSDL
og	C
í	ED
Vági	SMSDL
.	.

Kostnaður	SMSN
fyri	EA
frágreiðing	SFSA
um	EA
Hovgrímsgrøv	SFSA
,	,
gongutúrin	SMSAA
og	C
busskoyring	SFSA
er	VNPS3
kr.	T
100,-	NC
fyri	EA
vaksin	APSMPA
,	,
fyri	EA
børn	SNPA
er	VNPS3
ferðin	SFSNA
ókeypis	DN
.	.

Góð	APSFSN
undirtøka	SFSN
hevur	VNPS3
verðið	VA
til	EA
túrarnar	SMPAA
.	.

Veður	SNSN
og	C
vindur	SMSN
hava	VNPP3
havt	VA
síni	PNPN
árin	SNSA
á	EA
varðan	SMSAA
,	,
sum	CR
nú	DN
er	VNPS3
í	ED
slíkum	APSMSD
standi	SMSD
,	,
at	C
neyðugt	APSNSN
er	VNPS3
at	CI
umvæla	VI
hann	PMSA
,	,
skal	VNPS3
hann	PMSN
verða	VNPS3
standandi	VP
.	.

Úrslitið	SNSNA
er	VNPS3
batnað	VANSN

Inntøkurnar	SFPNA
av	ED
brøvum	SNPD
eru	VNPP3
at	CI
kalla	VI
tær	PDFPN
somu	APWFPN
sum	C
í	ED
2002	NC
.	.

juli	SMSA
í	EA
ár	SNSA
kom	VNAS3
tann	PDFSN
nýggja	APWFSN
e	X
-	-
toll	SMSA
skipanin	SFSNA
hjá	ED
Toll	SMSA
og	C
Skatt	SMSA
í	EA
gildi	SNSA
.	.

Flutningsfeløgini	SNPNA
væntaðu	VNAP3
,	,
at	C
nú	DN
var	VNAS3
neyðugt	APSNSN
at	CI
bíða	VI
í	EA
eina	PIFSA
tíð	SFSA
,	,
áðrenn	C
nakað	PINSN
var	VNAS3
at	CI
frætta	VI
aftur	DN
úr	ED
fíggjarmálaráðnum	SNSDA
,	,
men	C
so	DN
var	VNAS3
ikki	DN
.	.

Nú	DN
várfjøllini	SNPN
verða	VNPP3
gingin	VANPN
,	,
eru	VNPP3
eisini	DN
broytingar	SFPN
at	CI
síggja	VI
í	ED
aldargamla	APSNSD
fjallgongumynstri	SNSD
okkara	P1PG
.	.

Men	C
ljós	SNSN
í	ED
húsunum	SNPDA
heilt	DN
seint	DN
á	EA
kvøldið	SNSAA
.	.

Tey	PNPN
siga	VNPP3
stutt	APSNSN
og	C
greitt	APSNSN
,	,
at	C
hetta	PDNSN
,	,
sum	CR
nú	DN
verður	VNPS3
gjørt	VA
,	,
er	VNPS3
ikki	DN
gott	APSNSN
fyri	EA
seyðin	SMSAA
.	.

-	-
Ølsølan	SFSNA
í	ED
Føroyahúsinum	SNSDA
er	VNPS3
á	EA
ongan	PIMSA
hátt	SMSA
í	ED
stríð	SNSD
við	EA
donsku	APWFSA
lógina	SFSAA
,	,
og	C
á	ED
alt	DN
ov	DN
nógvum	APSNPD
sølustøðum	SNPD
í	ED
Danmark	SNSDL
fæst	VEPS3
á	EA
sama	APSMSA
hátt	SMSA
bert	DN
Carlsberg	F
.	.

Kann	VNPS1
økja	VI
munandi	AI
um	EA
útflutningin	SMSAA
í	ED
99	NC

Hann	PMSN
sigur	VNPS3
seg	PMSA
eisini	DN
vera	VI
fegnan	APSMSA
um	EA
avtaluna	SFSAA
og	C
ikki	DN
minst	DSN
um	EA
tað	PDNSA
arbeiði	SNSA
,	,
sum	CR
er	VNPS3
gjørt	VA
frá	ED
føroyskari	APSFSD
síðu	SFSD
.	.

Vilja	VNPP3
verja	VI
St	F
Kilda	F
móti	ED
oljudálking	SFSD

Undir	ED
herrópinum	SNSDA
,	,
No	F
new	F
oil	F
'	'
hevur	VNPS3
Greenpeace	F
roynt	VA
at	CI
forða	VI
fyri	ED
oljuleiting	SFSD
vestan	DN
fyri	EA
Hetland	SNSAL
.	.

Marathon	F
Oil	F
hevur	VNPS3
ætlanir	SFPA
um	EN
at	CI
bora	VI
ein	PIMSA
brunn	SMSA
120	NC
kilometrar	SMPA
norðan	DN
fyri	EA
St	F
Kilda	F
í	ED
apríl	SMSD
99	NC
.	.

Einki	PINSN
fullveldi	SNSN
við	ED
førda	VAMSD
politikki	SMSD

Tað	PNSN
er	VNPS3
ein	PIFSN
keðilig	APSFSN
mynd	SFSN
sum	C
Landsstýrið	SNSNA
heldur	VNPS3
upp	DN
fyri	ED
Føroya	SFPGL
fólki	SNSD
,	,
um	C
tað	PNSN
merkir	VNPS3
at	CI
fullveldi	SNSN
førir	VNPS3
fólk	SNPA
út	DN
av	ED
rókini	SFSDA
.	.

Hann	PMSN
nevnir	VNPS3
samstundis	DN
at	CI
tingmannalønirnar	SFPNA
skulu	VNPP3
hækkast	VE
60	NC
pst.	T
,	,
og	C
bygging	SFSA
av	ED
nýggja	APWNSD
tinghúsinum	SNSDA
,	,
sum	CR
kostar	VNPS3
umleið	DN
70	NC
-	-
100	NC
mió.	T
krónur	SFPA
,	,
sum	CR
mál	SNSA
,	,
ið	CR
vinna	VI
frama	SMSA
í	ED
sama	APSNSD
tíðarskeiði	SNSD
.	.

Tað	PNSN
er	VNPS3
ein	PIFSN
provokatión	SFSN
,	,
sigur	VNPS3
Jenis	SMSNP
av	ED
Rana	SMSDL
.	.

Sama	APSNSA
stað	SNSN
,	,
har	DN
gitni	APWMSN
filmfestivalurin	SMSNA
er	VNPS3
.	.

Henda	PDFSN
ætlan	SFSN
endar	VNPS3
ætlandi	DN
í	ED
september	SMSD
,	,
men	C
vóna	VI
og	C
vænta	VI
tey	PNPN
í	ED
Nora	T
,	,
at	C
arbeiðið	SNSNA
kann	VNPS3
halda	VI
fram	DN
í	EA
2	NCNPA
ár	SNPA
afturat	DN
eftir	EA
hetta	PDNSA
,	,
um	C
fígging	SFSN
fæst	VNPS3
.	.

Og	C
at	CI
hoyra	VI
Rakul	SFSAP
og	C
Kristian	SMSAP
greiða	VNPP3
frá	EN
,	,
staðfestir	VNPS3
hetta	PDNSA
.	.

Alban	F
og	C
Cher	F
í	ED
onkrari	PIFSD
hurð	SFSD
,	,
eins	C
og	C
tað	PNSN
ikki	DN
var	VNAS3
nakað	PINSN
at	CI
tosa	VI
um	EN
.	.

-	-
Fyri	ED
t.d.	T
danskarum	SMPD
eru	VNPP1
vit	P1PN
kanska	DN
ikki	DN
so	DN
spennandi	AI
.	.

Við	ED
sær	PNPD
úr	ED
Cannes	F
hava	VNPP3
Rakul	SFSNP
og	C
Kristian	SMSNP
hóp	SMSA
av	ED
tilfari	SNSD
.	.

Heldur	DCN
sum	C
altjóða	APSMSN
tónleikur	SMSN
,	,
við	ED
nøkrum	PINSD
etniskum	APSNSD
og	C
serføroyskum	APSNSD
inn	DN
ímillum	EN
.	.

Skal	VNPS3
hetta	PDNSN
gerast	VE
á	ED
høgum	APSNSD
støði	SNSD
,	,
so	DN
krevjast	VE
kanska	DN
einar	NCFPN
100.000	NC
krónur	SFPN
.	.

Rakul	SFSNP
Og	C
Kristian	SMSNP
eru	VNPP3
áhugað	APSNPN
í	ED
at	CI
samstarva	VI
við	EA
t.d.	T
ferðavinnuna	SFSAA
,	,
sum	CR
tey	PNPN
halda	VNPP3
eigur	VNPS3
at	CI
vera	VI
áhugað	APSNSN
í	ED
at	CI
gera	VI
íløgur	SFPA
í	EA
,	,
at	C
føroysk	APSFSN
mentan	SFSN
á	EA
henda	PDMSA
hátt	SMSA
verður	VNPS3
gjørd	VAFSN
meira	DCN
sjónlig	APSNPN
og	C
landið	SNSNA
samstundis	DN
eisini	DN
gerst	VEPS3
sjónligari	DCN
.	.

:	:

Teir	PMPN
spældu	VNAP3
heldur	DCN
ikki	DN
allir	APSMPN
sama	APSNSA
slag	SNSA
av	ED
tónleiki	SMSD
,	,
so	DN
tónleikaúrvalið	SNSNA
var	VNAS3
fjølbroytt	APSNSN
,	,
til	EG
gangns	SNSG
fyri	EA
tey	PDNPA
ymisku	APWNPA
tónleikaoyruni	SNPNA
,	,
ið	CR
stødd	APSNPN
vóru	VNAP3
í	ED
TB	T
-	-
húsinum	SNSDA
.	.

Kjølar	SMPN
høvdu	VNAP3
eina	PIFSA
framførðslu	SFSA
,	,
ið	CR
var	VNAS3
merkt	VANSN
av	ED
,	,
at	C
talan	SFSN
er	VNPS3
um	EA
ein	PIMSA
væl	DN
samanspældan	APSMSA
bólk	SMSA
.	.

Manningin	SFSNA
hevur	VNPS3
spælt	VA
saman	DN
í	EA
hálvtannað	NCNPA
ár	SNPA
,	,
undantikið	DN
trummuleikaran	SMSNA
,	,
ið	CR
byrjaði	VNAS3
um	EA
jóltíðir	SFPA
í	EA
fjør	SX
.	.

Flemming	SMSNP
Mikkelsen	SXP
,	,
løgtingsmaður	SMSN
í	ED
Suðuroy	SFSDL
vil	VNPS3
hava	VI
at	CI
vita	VI
,	,
um	C
ætlanin	SFSNA
er	VNPS3
at	CI
gera	VI
nakað	PINSA
við	EA
vegin	SMSAA
ímillum	EA
øravík	SNSA
og	C
Hov	SNSAL

Dagliga	DN
koyra	VNPP3
einir	NCMPN
600	NC
bilar	SMPN
eftir	ED
hesum	PDMSD
vegnum	SMSDA
.	.

Tað	PNSN
merkir	VNPS3
samstundis	DN
,	,
at	C
liðið	SNSNA
heldur	VNPS3
fram	DN
í	ED
HM	T
-	-
kappingini	SFSDA
og	C
skal	VNPS3
til	EG
Danmarkar	SNSGL
at	CI
halda	VI
páskir	SFPA

apríl	SMSN
.	.

Verjuinnsatsurin	SMSNA
var	VNAS3
100	NC
prosent	SNPN
,	,
og	C
í	ED
álopinum	SNSDA
vóru	VNAP3
ikki	DN
so	DN
nógvir	APSMPN
nervar	SMPN
og	C
so	DN
stór	APSFSN
virðing	SFSN
,	,
sum	CR
tað	PNSN
var	VNAS3
móti	ED
Kypros	SNSDL
tveir	NCMPA
dagar	SMPA
frammanundan	DN
.	.

Hetta	PDNSN
er	VNPS3
til	EA
stóran	APSMSA
ampa	SMSA
fyri	EA
teir	PDMPA
menn	SMPA
,	,
sum	CR
dagliga	DN
rógva	VNPP3
út	DN
á	ED
hesum	PDFPD
leiðum	SFPD
og	C
sum	CR
ikki	DN
hava	VNPP3
aðra	PIFSA
inntøku	SFSA
enn	DN
tað	PNSA
,	,
sum	CR
teir	PMPN
draga	VNPP3
úr	ED
sjónum	SMSDA
.	.

-	-
Men	C
upsi	SMSN
fiskast	VEPS3
ikki	DN
við	EA
línu	SFSA
,	,
so	DN
ongin	PIMSN
vandi	SMSN
skuldi	VNAS3
staðist	VE
av	ED
at	C
loyvt	VA
útróðrabátum	SMPD
at	C
sett	VA
línu	SFSA
í	ED
Holinum	SNSDL
.	.

Hann	PMSN
leggur	VNPS3
tó	DN
dent	SMSA
á	EA
,	,
at	C
vestmenningar	SMPN
ikki	DN
skulu	VNPP3
vænta	VI
,	,
at	C
teir	PMPN
fáa	VNPP3
dekkað	VA
útreiðslurnar	SFPAA
av	ED
rakstrinum	SMSDA
av	ED
ferjuleguni	SFSDA
fyri	EA
tað	PNSA
at	C
havnargjøldini	SNPNA
verða	VNPP3
justerað	VANPN
upp	DN
eftir	EN
og	C
básaleiga	SFSN
verður	VNPS3
ásett	VAFSN
.	.

Sjálvskapt	APSFSN
støða	SFSN

Tað	PNSA
hevur	VNPS3
Finnbogi	SMSNP
heldur	DCN
ikki	DN
nakað	PINSA
boð	SNSA
uppá	EN
.	.

Nú	DN
eru	VNPP3
fólk	SNPN
meira	DCN
vitandi	VP
um	EA
rættindi	SNPA
og	C
skyldur	SFPA
,	,
sigur	VNPS3
Maria	SFSNP
Jacobsen	SXP
.	.

Petur	SMSNP
Johannesen	SXP
,	,
stjóri	SMSN
á	ED
Palm	F
Seafood	F
í	ED
Vági	SMSDL
,	,
sigur	VNPS3
,	,
at	C
vágbingar	SMPN
eru	VNPP3
enn	DN
líka	DN
ørkymlaðir	APSMPN
og	C
vónbrotnir	APSMPN
av	ED
landsins	SNSGA
myndugleikum	SMPD
,	,
sum	CR
teir	PMPN
hava	VNPP3
verið	VA
leingi	DN
.	.

-	-
So	DN
varð	VNAS3
roynt	VA
at	CI
fáa	VI
fund	SFSA
við	EA
landsstýrismannin	SMSAA
í	ED
fiskivinnumálum	SNPD
.	.

Petur	SMSNP
Johannesen	SXP
sigur	VNPS3
,	,
at	C
tað	PNSN
er	VNPS3
heilt	DN
burturvið	DN
at	CI
pilka	VI
einstakar	APSMPA
partar	SMPA
í	ED
fiskivinnuni	SFSDA
burturúr	DN
,	,
og	C
geva	VI
teimum	PMPD
stuðul	SMSA
framum	EA
allar	APSMPA
aðrar	PIMPA
partar	SMPA
í	ED
fiskivinnuni	SFSDA
.	.

Verri	DCN
og	C
verri	DCN

Torleif	SMSNP
Sigurðsson	SMSNP
upplýsti	VNAS3
,	,
at	C
teir	PMPN
í	ED
fíggjarætlanini	SFSDA
fyri	ED
1999	NC
rokna	VNPP3
við	ED
einum	PINSD
rakstraryvirskoti	SNSD
uppá	EA
1,6	NC
millión	SFSN
krónur	SFPA
,	,
og	C
tá	DN
hava	VNPP3
teir	PMPN
ikki	DN
lagt	VA
upp	DN
fyri	ED
fjórðinginum	SMSDA
av	ED
tí	PDFSD
milliónini	SFSDA
av	ED
dollarum	SMPD
,	,
sum	C
FSF	T
fer	VNPS3
at	CI
fáa	VI
frá	ED
FIFA	T
í	EA
ár	SNSA
.	.

hava	VI
landslið	SNSA

Tøknin	SFSNA
er	VNPS3
nú	DN
so	DN
framkomin	VAFSN
,	,
at	C
í	ED
framtíðini	SFSDA
fara	VNPP3
radiostøðir	SFPN
,	,
sum	C
til	EG
dømis	SNSG
Tórshavn	SFSNL
Radio	F
,	,
ikki	DN
at	CI
hava	VI
skyldu	SFSA
til	EN
at	CI
lurta	VI
á	ED
Neyð	SFSDA
-	-
og	C
Trygdartænastuni	SFSDA
á	ED
500	NC
kHz	T
.	.

Felagsskapurin	SMSNA
sigur	VNPS3
,	,
at	C
í	ED
seinasta	ASSNSD
lagi	SNSD
1	NOMSA
februar	SMSA
ár	SNSA
2005	NC
,	,
skulu	VNPP3
øll	PINPN
skip	SNPN
nýta	VNPP3
sokallaðu	APWFSA
GMDSS	T
-	-
skipanina	SFSAA
,	,
sum	CR
er	VNPS3
ein	PIFSN
digital	APSFSN
kalliskipan	SFSN
.	.

Annars	DN
er	VNPS3
aktiviteturin	SMSNA
á	ED
Telegrafstøðini	SFSDA
nógv	DN
minkaður	APSMSN
seinastu	ASWNPA
árini	SNPAA
.	.

-	-
Vit	P1PN
detta	VNPP1
niður	DN
ímillum	EA
tveir	NCMPA
stólar	SMPA

Altjóðagerðin	SFSNA
hevur	VNPS3
havt	VA
við	ED
sær	PFSD
,	,
at	C
lond	SNPN
samskipa	VNPP3
seg	PNPA
á	ED
flestu	ASSNPD
økjum	SNPD
,	,
til	EG
tess	PNSG
at	C
samskiftið	SNSNA
teirra	PNPG
millum	EN
kann	VNPS3
fara	VI
fram	DN
smidliga	DN
og	C
á	EA
ein	PIMSA
so	DN
greiðan	APSMSA
hátt	SMSA
sum	C
gjørligt	DN
.	.

Eg	P1SN
trúgvi	VNPS1
vit	P1PN
skulu	VNPP1
vera	VI
nógv	DN
meira	DCN
við	EN
,	,
enn	C
vit	P1PN
hava	VNPP1
verið	VA
higartil	DN
.	.

