-	KO
sigla	VI
afturat	DN
Dúgvuni	SFSDA
.	KE

Eftir	DG
greinina	SFSAA
,	KC
vit	PP1PN
høvdu	VNAP3
í	DG
Sosialinum	SMSDA
í	DG
gjár	SX
um	DG
tungu	APWFSA
ferðsluna	SFSAA
gjøgnum	DG
Leirvíksbygd	SFSA
,	KC
hevur	VNPS3
ein	PBMSN
lesari	SMSN
í	DG
Leirvík	SFSDP
vent	VANSN
sær	PPMSD
til	DG
blaðið	SNSAA
.	KE

Sumbingar	SMPN
heiðraðir	VAMPN
fyri	DG
føroyskan	APSMSA
dans	SMSA

Tá	DN
dansaðu	VNAP3
sumbingar	SMPN
føroyskan	APSMSA
dans	SMSA
fyri	DG
teimum	PDMPD
ógvuliga	DN
hugtiknu	APWMPD
íslendingunum	SMPDA
.	KE

Í	DG
veruleikanum	SMSDA
gevi	VNPS1
eg	PP1SN
Fíggingargrunninum	SMSDA
frá	DG
1992	NO
heimild	SFSA
til	DN
at	CI
skipa	VI
fyri	DG
"	KQ
frægasta	ASWNSD
lutfallinum	SNSDA
millum	DG
egin	SMSA
-	KO
og	C
fremmandakapital	SMSA
"	KQ
í	DG
Føroya	SFPGP
Banka	SMSD
.	KE

Men	C
ein	PBMSN
annar	PBMSN
spurningur	SMSN
er	VNPS3
,	KC
um	DN
20	NP
%	M
er	VNPS3
rætta	APWNSN
talið	SNSNA
,	KC
tá	C
hugsað	VANSN
verður	VNPS3
um	DG
sølu	SFSA
av	DG
partabrøvum	SNPD
í	DG
Føroya	SFPGP
Banka	SMSD
.	KE

Hetta	PDNSN
er	VNPS3
eitt	PBNSN
politiskt	APSNSN
signal	SNSN
,	KC
sigur	VNPS3
Bárður	SMSNP
Nielsen	SXP
,	KC
fíggjarmálaráðharri	SMSN
.	KE

Ársúrslit	SNSN

Í	DG
heyst	SNSA
letur	VNPS3
eitt	PBNSN
slóðbrótandi	AI
virki	SNSN
upp	DN
á	DG
Eiði	SNSDP
sum	C
skal	VNPS3
gagnnýta	VI
tann	PDMSA
partin	SMSAA
av	DG
okkara	PP1PG
fiskatilfeingi	SNSD
,	KC
sum	CR
fyri	DG
tað	PPNSA
mesta	ASSNSA
verður	VNPS3
tveittur	VAMSN
í	DG
havið	SNSAA

Føroyingar	SMPN
eiga	VNPP3
80	NP
%	M
av	DG
virkinum	SNSDA
og	C
útlendingar	SMPN
20	NP
%	M
.	KE

Lýsi	SNSN
hevur	VNPS3
drúgvar	APSFPA
royndir	SFPA
við	DG
biotekniskari	APSFSD
framleiðslu	SFSD
og	C
sølu	SFSD
og	C
løtuni	SFSDA
eru	VNPP3
tvey	NCNPN
fólk	SNPN
frá	DG
Faroe	F
Marine	F
Biotech	F
yviri	DN
hjá	DG
Lýsi	SNSD
og	C
kunna	VNPP3
seg	PPNSA
um	DG
framleiðsluna	SFSAA
og	C
teknikk	SMSA
.	KE

Men	C
hann	PPMSN
væntar	VNPS3
at	C
tað	PPNSN
liggur	VNPS3
longri	DCN
frammi	DN
í	DG
tíðini	SFSDA
hann	PPMSN
væntar	VNPS3
,	KC
at	C
tað	PPNSN
ganga	VNPP3
eini	NR
fimm	NC
ár	SNPN
,	KC
áðrenn	DN
farast	VE
kann	VNPS3
undir	DG
triðja	APWNSA
framleiðslustigið	SNSAA
.	KE

Og	C
tað	PPNSN
ber	VNPS3
til	DN
alla	PBNSA
aðrastaðni	DN
so	DN
hann	PPMSN
ivast	VNPS3
heldur	DCN
ikki	DN
í	DG
,	KC
at	CI
tað	PPNSN
eisini	DN
ber	VNPS3
til	DN
í	DG
Føroyum	SFPDP
.	KE

1.	NO
mai	SMSA
verður	VNPS3
sum	C
vanligt	DN
hildin	VAMSN
í	DG
Havn	SFSDP
seinnapartin	SMSAA

Men	C
Havnin	SFSNAP
er	VNPS3
væl	DN
útgjørd	VAFSN
í	DG
so	DG
máta	SMSA
,	KC
so	DN
Arbeiðsmannafelagið	SNSNA
hevur	VNPS3
fingið	VANSN
GHM	TS
at	CI
spæla	VI
ístaðin	DN
,	KC
sigur	VNPS3
Hans	SMSNP
Joensen	SXP
.	KE

Men	C
so	DN
er	VNPS3
tað	PPNSN
aftur	DN
fyri	DN
okkara	PP1PG
uppgáva	SFSN
at	CI
upplýsa	VI
fólk	SNPA
um	DG
hetta	PDNSA
,	KC
soleiðis	DN
at	C
undirtøkan	SFSNA
til	DG
eitt	PBNSA
nú	DN
1.	NO
maidagshaldini	SNPAA
gerst	VEPS3
betri	DCN
.	KE

Hetta	PDNSN
kann	VNPS3
ikki	DN
annað	PBNSN
enn	DN
síggjast	VI
aftur	DN
í	DG
heimarøktini	SFSDA
.	KE

Hann	PPMSN
sigur	VNPS3
,	KC
at	C
fólkini	SNPNA
fyrr	DCN
hava	VNPP3
fingið	VANSN
noktað	APSNPN
friðskjól	SNSA
í	DG
Svøríki	SNSDP
,	KC
og	C
vísir	VNPS3
annars	DN
til	DG
útlendingalógina	SFSAA
,	KC
og	C
almenna	APWMSA
ákæran	SMSAA
í	DG
Føroyum	SFPDP
.	KE

Berandi	AI
lítla	APWNSA
barnið	SNSAA
,	KC
ein	PBFSA
ryggsekk	SMSA
og	C
ein	PBMSA
svartan	APSMSA
plastiksekk	SMSA
eins	C
og	C
ein	PBMSA
urtapott	SMSA
,	KC
tey	PPNPN
ikki	DN
høvdu	VNAP3
skrivað	VANSN
inn	DN
saman	DN
við	DG
øðrum	PBNSD
smávegis	DN
viðføri	SNSD
.	KE

Kostnaðarmetingin	SFSNA
av	DG
nýggja	APWNSD
høvuðssætinum	SNSDA
hjá	DG
Føroya	SFPGP
Tele	F
er	VNPS3
93	NO
milliónir	SFSN
krónur	SFPN
,	KC
og	C
stjórin	SMSNA
á	DG
Føroya	SFPGP
Tele	F
,	KC
Andras	SMSNP
Róin	SXP
,	KC
sigur	VNPS3
,	KC
at	C
tað	PPNSN
sær	VNPS3
út	DN
til	DN
,	KC
at	C
metingin	SFSNA
fer	VNPS3
at	CI
halda	VI
.	KE

Andras	SMSNP
Róin	SXP
sigur	VNPS3
,	KC
at	C
leiðslan	SFSNA
á	DG
Føroya	SFPGP
Tele	F
metir	VNPS3
,	KC
at	C
í	DG
nýggja	APWMSD
bygninginum	SMSDA
er	VNPS3
rúm	SNSN
fyri	DG
øllum	PBNSD
virkseminum	SNSDA
hjá	DG
stovninum	SMSDA
,	KC
og	C
tí	C
er	VNPS3
ikki	DN
tørvur	SMSN
á	DG
gamla	APWMSD
bygninginum	SMSDA
.	KE

Nú	DN
er	VNPS3
Óli	SMSNP
Samró	SXP
og	C
FAREC	TS
aftur	DN
klárir	APSMPN
við	DG
nýggjum	APSNPD
tølum	SNPD
.	KE

-	KO
Um	DG
tann	PDFSA
føroyska	APWFSN
fiskivinnan	SFSNA
ella	C
fyri	DG
ta	PDFSA
skuld	SFSA
ein	PBFSN
og	C
hvør	PQFSN
fiskivinna	SFSN
í	DG
heiminum	SMSDA
skal	VNPS3
yvirliva	VI
,	KC
so	DN
noyðast	VEPP3
tey	PPNPN
viðganga	VNPP3
at	CI
tey	PPNPN
eru	VNPP3
partur	SMSN
av	DG
einum	PBMSD
globaliseraðum	APSMSD
heimi	SMSD
og	C
seta	VI
seg	PPNSA
inn	DN
í	DG
hvussu	DN
altjóða	APSMSN
leikpallurin	SMSNA
virkar	VNPS3
,	KC
sigur	VNPS3
Óli	SMSNP
Samró	SXP
.	KE

Talan	SFSN
var	VNAS3
bert	DN
um	DG
fiskastovnar	SMPA
,	KC
ráfiskalóg	SFSA
og	C
annað	PBNSA
sum	CR
stýrdi	VNAS3
tí	PDFSD
heimligu	APSFSD
fiskivinnuni	SFSDA
.	KE

Trygging	SFSN
í	DG
nýggjum	APSNPD
hølum	SNPD

-	KO
Tryggingarfelagið	SNSNA
hevur	VNPS3
nú	DN
funnið	VANSN
høli	SNPA
,	KC
sum	CR
eru	VNPP3
væl	DN
egnað	VANPN
til	DG
endamálið	SNSAA
,	KC
segði	VNAS3
Mortan	SMSNP
Poulsen	SXP
,	KC
og	C
vísti	VNAS3
á	DG
,	KC
at	C
hetta	PDNSN
var	VNAS3
grundin	SFSNA
til	DG
,	KC
at	C
flutt	VANSN
varð	VNAS3
júst	DN
til	DG
Sandavágs	SMSGP
.	KE

Orsøkin	SFSNA
er	VNPS3
,	KC
at	C
í	DG
ár	SNSA
verða	VNPP3
Fuglafjarðar	SMSGP
Hornorkestur	SNSN
og	C
málningaframsýningin	SFSNA
á	DG
Varmakeldu	SFSD
35	NO
ár	SNPN

Vit	PP1PN
kunnu	VNPP1
bert	DN
vóna	VI
og	C
biðja	VI
eftir	DG
,	KC
at	C
veðurgudarnir	SMPNA
fara	VNPP3
at	CI
forbarma	VI
seg	PPMSA
yvir	DG
okkum	PP1PA
í	DG
juli	SMSD
og	C
august	SMSD
.	KE

Enn	DN
er	VNPS3
tó	DN
langt	DN
á	DG
mál	SNSA
.	KE

Spurdi	VNAS1
tí	C
tann	PDMSA
eina	PBMSA
,	KC
um	C
hann	PPMSN
ikki	DN
vildi	VNAS3
læna	VI
mær	PP1SD
tráðuna	SFSAA
eitt	PBNSA
bil	SNSA
,	KC
so	DN
eg	PP1SN
kundi	VNAS1
fiska	VI
honum	PPMSD
eitt	PBNSA
stórt	APSNSA
síl	SNSA
.	KE

Myndirnar	SFPNA
,	KC
sum	CR
ein	PBMSN
listabólkur	SMSN
av	DG
Falster	F
í	DG
Danmark	SNSDP
hevur	VNPS3
gjørt	VANSN
,	KC
eru	VNPP3
hugtakandi	VP
á	DN
at	CI
líta	VI
.	KE

Úr	DG
túninum	SNSDA
við	DG
Mentanarhúsið	SNSAA
,	KC
bar	VNAS3
leiðin	SFSNA
yvir	DG
á	DG
bókasavnið	SNSAA
og	C
kunningarstovuna	SFSAA
,	KC
sum	CR
er	VNPS3
í	DG
hugnaliga	APWNSD
gróthúsinum	SNSDA
,	KC
ið	CR
stendur	VNPS3
skamt	DN
haðani	DN
.	KE

Niðri	DN
í	DG
bygdini	SFSDA
stóð	VNAS3
plattur	SMSN
við	DG
málingablikkum	SMPD
uttanfyri	DG
handilin	SMSAA
,	KC
og	C
var	VNAS3
tað	PDNSN
onkur	PBMSN
,	KC
sum	CR
ikki	DN
hevði	VNAS3
hugsað	VANSN
um	DG
at	CI
snøgga	VI
um	DG
eitthvørt	PBNSA
,	KC
sum	CR
lá	VNAS3
á	DG
láni	SNSD
,	KC
var	VNAS3
hetta	PDNSN
ein	PBFSN
góð	APSFSN
áminning	SFSN
um	DG
,	KC
at	C
nú	DN
var	VNAS3
tíðin	SFSNA
komin	VAFSN
í	DG
hesum	PDNSD
Harrans	SMSG
veðri	SNSD
hendan	PDMSA
dagin	SMSAA
.	KE

Henda	PDFSN
samtykt	SFSN
snýr	VNPS3
seg	PPFSA
millum	DG
annað	PBNSA
um	DG
læknaørindi	SNPA
hjá	DG
starvsfólkum	SNPD
í	DG
Tórshavnar	SFSGP
Kommunu	SFSD
,	KC
umframt	DN
jarðarferðir	SFPA
.	KE

Hetta	PDNSN
verður	VNPS3
í	DG
fyrstu	ASWFSA
syftu	SFSD
gjørt	VANSN
í	DG
eina	PBFSA
royndartíð	SFSA
,	KC
áðrenn	C
endalig	APSFSN
støða	SFSN
verður	VNPS3
tikin	VAFSN
um	DG
at	CI
flyta	VI
tíðindasendingina	SFSAA
fast	DN
fram	DN
.	KE

Honum	PPMSD
á	DG
baki	SNSD
kom	VNAS3
Gongurólvur	SMSNP
eisini	DN
,	KC
so	DN
eina	PBFSA
løtu	SFSA
var	VNAS3
kapping	SFSN
millum	DG
hesar	PDMPA
báðar	PBMPA
høvuðsstaðarbátarnar	SMPAA
.	KE

Eygnavitni	SNPNA
á	DG
Eiði	SNSDP
greiða	VNPP3
frá	DG
,	KC
at	C
grót	SNSN
fór	VNAS3
um	DG
alla	PBFSA
bygdina	SFSAA
mánadagin	SMSAA
,	KC
tá	C
sprongt	VANSN
varð	VNAS3
úti	DN
í	DG
Gerðinum	SNSDP
á	DG
Eiði	SNSDP
.	KE

Tá	C
tað	PDNSN
síðsta	ASWNSN
skotið	SNSNA
varð	VNAS3
latið	VANSN
av	DN
um	DG
kvøldið	SNSAA
,	KC
kom	VNAS3
onki	PBNSN
grót	SNSN
oman	DN
í	DG
bygdina	SFSAA
,	KC
sigur	VNPS3
viðkomandi	VP
,	KC
sum	CR
var	VNAS3
til	DG
staðar	SMSG
allan	PBMSA
dagin	SMSAA
,	KC
tá	C
sprongt	VANSN
varð	VNAS3
.	KE

Sunnudagin	SMSAA
leggur	VNPS3
sluppin	SFSNA
Johanna	SFSNP
frá	DG
landi	SNSD
og	C
talan	SFSN
er	VNPS3
um	DG
eina	PBFSA
so	DN
sjáldsama	APSFSA
ferð	SFSA
,	KC
sum	C
at	CI
fara	VI
undir	DG
Sumbiarbjørgini	SNPAA
.	KE

Manningin	SFSNA
á	DG
Johannu	SFSDP
bjóðar	VNPS3
kaffi	SNSA
og	C
smákøkur	SFPA
.	KE

Greitt	VANSN
verður	VNPS3
frá	DG
týðandi	AI
parti	SMSD
í	DG
føroyingasøgu	SFSD
,	KC
t.d.	TS
er	VNPS3
greitt	VANSN
frá	DN
um	DG
grøvina	SFSAA
í	DG
Flatoyarbók	SFSD
.	KE

Aftaná	DN
verður	VNPS3
farið	VANSN
eftir	DG
varðagøtuni	SFSDA
til	DG
Øravíkar	SFSGP
.	KE

Ongin	PBFSN
orsøk	SFSN
er	VNPS3
at	CI
sita	VI
hendur	SFPA
í	DG
favn	SMSA
,	KC
nú	DN
kunningarstovurnar	SFPNA
í	DG
Suðuroynni	SFSDAP
hava	VNPP3
lagt	VANSN
til	DG
brots	SNSG
.	KE

Í	DG
Mykinesi	SFSDP
stendur	VNPS3
ein	PBMSN
minnisvarði	SMSN
á	DG
sjónligum	APSNSD
staði	SNSD
nakað	PBNSN
væl	DN
frá	DG
bygdum	VANSD
øki	SNSD
.	KE

Tað	PPNSN
var	VNAS3
Poul	SMSNP
E	X
.	KE

Hetta	PDNSN
er	VNPS3
nakað	DN
minni	DCN
enn	DN
árið	SNSAA
fyri	DN
,	KC
tá	C
Postverkið	SNSNA
hevði	VNAS3
3,9	NO
mió.	TT
krónur	SFPA
í	DG
halli	SNSD
.	KE

Sambært	DG
ársfrágreiðingini	SFSDA
vóru	VNAP3
240	NO
ársverk	SNPN
á	DG
Postverki	SNSD
Føroya	SFPGP
sammett	VANSN
við	DG
245,5	NO
í	DG
2002	NO
.	KE

Stjórin	SMSNA
á	DG
Safari	F
Transport	F
sigur	VNPS3
,	KC
at	C
ætlaninar	SFPNA
hjá	DG
Toll	SMSA
og	C
Skatt	SMSA
eisini	DN
høvdu	VNAP3
ført	VANSN
við	DG
sær	PPFPD
,	KC
at	C
summir	PBMPN
innflytarar	SMPN
fóru	VNAP3
at	CI
fáa	VI
trupulleikar	SMPA
,	KC
tí	C
fleiri	ACSNPN
av	DG
teimum	PPMPD
duga	VNPP3
ikki	DN
at	CI
tollgreiða	VI
sínar	PPMPA
vørur	SFPA
sjálvir	PIMPN
,	KC
sigur	VNPS3
hann	PPMSN
.	KE

Tískil	DN
avgreiða	VNPP3
flutningsfeløgini	SNPNA
framvegis	DN
tollpappírini	SNPAA
hjá	DG
viðskiftafólkum	SNPD
sínum	PPNPD
á	DG
gamlan	APSMSA
hátt	SMSA
.	KE

Klippa	VNPP3
inni	DN
og	CI
hava	VI
fremmandar	APSMPA
menn	SMPA
at	CI
gera	VI
arbeiðið	SNSAA
.	KE

Hetta	PDNSN
kemur	VNPS3
væl	DN
við	DN
hjá	DG
teimum	PPMPD
,	KC
sum	CR
fyrr	DCN
skuldu	VNAP3
mynstra	VI
stóra	APSFSA
manning	SFSA
heilar	APSMPA
dagar	SMPA
á	DG
fjalli	SNSD
.	KE

Vanligt	APSNSN
er	VNPS3
so	DN
at	CI
royta	VI
ella	C
klippa	VI
tætt	DN
at	DG
gomlu	APWFSD
ullini	SFSDA
,	KC
og	C
seyðurin	SMSNA
fer	VNPS3
so	DN
avstað	DN
aftur	DN
við	DG
nýggju	APWFSD
ullini	SFSDA
.	KE

Men	C
hóast	C
lógin	SFSNA
ikki	DN
forbjóðar	VNPS3
føroyska	APWMSD
framferðarháttinum	SMSDA
í	DG
Keypmannahavn	SFSDP
,	KC
finst	VEPS3
Brøgger	SXP
at	DG
støðuni	SFSDA
.	KE

Tað	PPNSN
var	VNAS3
eisini	DN
hann	PPMSN
,	KC
sum	CR
fekk	VNAS3
stýrt	VANSN
málinum	SNSDA
inn	DN
í	DG
ta	PDFSA
legu	SFSA
,	KC
sum	CR
at	CI
enda	VI
gav	VNAS3
okkum	PP1PD
ein	PBNSA
so	DN
frægan	APSMSA
sáttmála	SMSA
.	KE

Tað	PPNSN
skuldi	VNAS3
so	DN
aftur	DN
skapt	VANSN
møguleikar	SMPA
fyri	DG
eini	PBFSD
øking	SFSD
í	DG
okkara	PP1PG
útflutningi	SMSD
.	KE

St	F
Kilda	F
var	VNAS3
bygd	VANSN
fram	DN
til	DG
umleið	DN
1930	NO
.	KE

There	F
are	F
importent	F
threats	F
associated	F
with	F
pollution	F
derived	F
from	F
by	F
-	KO
procucts	F
of	F
oil	F
exploration	F
and	F
drilling	F
activities	F
.	KE

Enn	DN
hava	VNPP3
Greenpeace	F
fólk	SNPN
so	DN
ikki	DN
umrøtt	VANSN
Føroyaøkið	SNSAA
sum	C
so	DN
í	DG
sambandi	SNSD
við	DG
herferð	SFSA
teirra	PPNPG
móti	DG
nýggjari	APSFSD
oljuleiting	SFSD
.	KE

Tað	PPNSN
hevur	VNPS3
týdning	SMSA
at	CI
fáa	VI
so	DN
nógvar	APSFPA
upplýsingar	SFPA
fram	DN
sum	C
gjørligt	DN
til	DG
fólkið	SNSAA
at	CI
taka	VI
støðu	SFSA
út	DN
frá	DN
.	KE

-	KO
Sagt	VANSN
verður	VNPS3
,	KC
at	C
tað	PPNSN
kostar	VNPS3
einar	NR
15	NO
-	KO
20	NO
mió.	TT
krónur	SFPA
.	KE

Tosa	VI
,	KC
men	C
gera	VI
einki	DN

Alban	F
.	KE

Rakul	SFSNP
Petersen	SXP
umboðar	VNPS3
Nora	TS
,	KC
ið	CR
er	VNPS3
norðurlendskt	APSNSN
atlantssamstarv	SNSN
.	KE

Har	DN
eru	VNPP3
tey	PPNPN
heilt	DN
stóru	APSNPN
og	C
eisini	DN
feløg	SNPN
,	KC
sum	CR
Tutl	SNSN
,	KC
ella	C
minni	DCN
,	KC
sigur	VNPS3
Kristian	SMSNP
Blak	SXP
.	KE

Tað	PPNSN
er	VNPS3
hon	PPFSN
,	KC
ið	CR
syngur	VNPS3
Big	F
Big	F
World	F
.	KE

-	KO
Ein	PBMSN
kemur	VNPS3
aftur	DN
við	DG
hálvum	APSFSD
og	C
heilum	APSFSD
avtalum	SFSD
,	KC
sigur	VNPS3
Kristian	SMSNP
Blak	SXP
,	KC
sum	CR
næstan	DN
hevur	VNPS3
eina	PBFSA
avtalu	SFSA
við	DG
fólk	SNPA
í	DG
Taiwan	SNSDP
um	DG
tónleikasamstarv	SNSA
og	C
sum	CR
longu	DN
hevur	VNPS3
samband	SNSA
við	DG
handil	SMSA
í	DG
Japan	SNSDP
,	KC
ið	CR
millum	DG
annað	PBNSA
selur	VNPS3
nýggju	APWFSA
føroysku	APWFSA
jazzfløguna	SFSAA
hjá	DG
Magnus	SMSNP
Johannesen	SXP
,	KC
Plúmm	SNSD
og	C
Holger	F
Lauman	F
.	KE

Orsøkina	SFSAA
til	DG
,	KC
at	C
yvirlitið	SNSNA
hjá	DG
Tutl	SNSD
er	VNPS3
so	DN
vakurt	APSNSN
,	KC
sum	CR
fók	VNAS3
siga	VI
,	KC
metir	VNPS3
Kristian	SMSNP
er	VNPS3
,	KC
at	CI
bólkar	SMPN
og	C
tónleikarar	SMPN
ofta	DN
sjálvi	PINPN
hava	VNPP3
staðið	VANSN
fyri	DG
at	CI
gera	VI
húsarnar	SMPAA
.	KE

-	KO
Tey	PPNPN
hava	VNPP3
verið	VANSN
heima	DN
og	CI
lurta	VI
eftir	DG
tí	PPNSD
,	KC
ið	C
tey	PPNPN
fingu	VNAP3
frá	DG
okkum	PP1PD
og	C
eru	VNPP3
áhugað	APSNPN
í	DG
at	CI
hoyra	VI
meira	DCN
,	KC
sigur	VNPS3
Kristian	SMSNP
.	KE

Men	C
komandi	VP
ár	SNSA
verður	VNPS3
aftur	DN
møguleiki	SMSN
at	CI
luttaka	VI
og	C
ætlanir	SFPN
eru	VNPP3
um	DN
at	CI
fara	VI
við	DN
.	KE

Henda	PDMSA
faldara	SMSA
um	C
Føroyar	SFPAP
fingu	VNAP3
øll	PBNPN
,	KC
sum	CR
hann	PPMSN
hevði	VNAS3
samband	SNSA
við	DN
og	C
tey	PPNPN
lótu	VNAP3
sera	DN
væl	DN
at	DN
og	C
hildu	VNAP3
landið	SNSAA
vera	VI
vakurt	VANSA
.	KE

Sanniliga	DN
kemur	VNPS3
føroyskur	APSMSN
tónleikur	SMSN
víða	DN
.	KE

Tey	PDNPN
450	NO
fólkini	SNPNA
,	KC
ið	CR
vóru	VNAP3
so	DN
heppin	APSNPN
at	CI
fáa	VI
atgongumerki	SNPA
til	DG
kappingina	SFSAA
,	KC
høvdu	VNAP3
ikki	DN
leitað	VANSN
sær	PPNPD
í	DG
TB	TS
-	KO
húsið	SNSAA
til	DG
fánýtis	SNSG
.	KE

Mest	DSN
kendi	APWMSN
bólkurin	SMSNA
á	DG
Prix	F
Føroyar	SFPAP
kappingini	SFSDA
á	DG
Tvøroyri	SFSDP
var	VNAS3
bólkurin	SMSNA
Kjølar	SMPN
.	KE

Tónleikurin	SMSNA
er	VNPS3
alternativur	VAMSN
grunge	F
tónleikur	SMSN
,	KC
og	C
var	VNAS3
hesin	PDMSN
væl	DN
móttikin	VAMSN
á	DG
Tvøroyri	SFSDP
leygarkvøldið	SNSAA
.	KE

Flemming	SMSNP
Mikkelsen	SXP
,	KC
løgtingsmaður	SMSN
í	DG
Suðuroy	SFSDP
vil	VNPS3
hava	VI
at	CI
vita	VI
,	KC
um	C
ætlanin	SFSNA
er	VNPS3
at	CI
gera	VI
nakað	PBNSA
við	DG
vegin	SMSAA
ímillum	DG
øravík	SNSA
og	C
Hov	SNSAP

Dagliga	DN
koyra	VNPP3
einir	NR
600	NO
bilar	SMPN
eftir	DG
hesum	PDMSD
vegnum	SMSDA
.	KE

Tað	PPNSN
merkir	VNPS3
samstundis	DN
,	KC
at	C
liðið	SNSNA
heldur	VNPS3
fram	DN
í	DG
HM	TS
-	KO
kappingini	SFSDA
og	C
skal	VNPS3
til	DG
Danmarkar	SNSGP
at	CI
halda	VI
páskir	SFPA

Tað	PPNSN
er	VNPS3
eisini	DN
frálíkt	APSNSN
at	CI
vita	VI
,	KC
at	C
liðið	SNSNA
nú	DN
ikki	DN
bert	DN
verður	VNPS3
syndrað	VANSN
,	KC
sum	CR
nógv	DN
helst	DSN
høvdu	VNAP3
roknað	VANSN
við	DN
,	KC
fór	VNAS3
at	CI
henda	VI
.	KE

Sosialurin	SMSNA
ynskir	VNPS3
U18	TS
landsliðnum	SNSDA
og	C
Hondbóltssambandinum	SNSDA
tillukku	SNSA
við	DG
frálíka	APWNSD
úrslitinum	SNSDA
og	C
ynskir	VNPS3
góða	APSFSA
eydnu	SFSA
um	DG
páskirnar	SFPAA
,	KC
tá	C
enn	DN
sterkari	ACSNPN
mótstøðulið	SNPN
bíða	VNPP3
niðri	DN
í	DG
Danmark	SNSDP
.	KE

Men	C
av	DG
tí	PPNSD
,	KC
at	C
Norðhavið	SNSNA
er	VNPS3
friðað	VANSN
,	KC
noyðast	VEPP3
teir	PPMPN
sostatt	DN
heilt	DN
út	DN
á	DG
20	NO
fjórðingar	SMPA
fyri	DN
at	CI
kunna	VI
fiska	VI
.	KE

Finnbogi	SMSNP
Arge	SXP
,	KC
landsstýrismaður	SMSN
:	KE
-	KO
Tit	PP2PN
mugu	VNPP2
geva	VI
tol	SNSA

-	KO
Tey	PPNPN
kunnu	VNPP3
vænta	VI
sær	PPNPD
eina	PBFSA
hækking	SFSA
upp	DN
á	DG
umleið	DN
150	NR
túsund	NC
krónur	SFPA
og	C
tað	PPNSN
vil	VNPS3
siga	VI
,	KC
at	C
upphæddin	SFSNA
,	KC
sum	CR
vestmenningar	SMPN
so	DN
fáa	VNPP3
fer	VNPS3
at	CI
liggja	VI
um	DG
eina	PBFSA
hálva	APSFSA
millión	SFSA
,	KC
sigur	VNPS3
Finnbogi	SMSNP
Arge	SXP
.	KE

-	KO
Eg	PP1SN
skilji	VNPS1
væl	DN
støðuna	SFSAA
teir	PPMPN
eru	VNPP3
í	DN
,	KC
tí	C
ferjulegan	SFSNA
fíggjarliga	DN
er	VNPS3
ógvuliga	DN
tung	APSFSN
at	CI
reka	VI
,	KC
men	C
í	DG
grundini	SFSDA
hava	VNPP3
teir	PPMPN
sjálvir	PIMPN
skapt	VI
ta	PDFSA
støðu	SFSA
,	KC
teir	PPMPN
eru	VNPP3
í	DN
,	KC
sigur	VNPS3
hann	PPMSN
.	KE

Einki	PBNSN
hald	SNSN
í	DG
hasum	PDNSD

Harnæst	DN
kann	VNPS3
stjórin	SMSNA
á	DG
Almannastovuni	SFSDA
ikki	DN
úttala	VI
seg	PPMSA
um	DG
einastaklingamál	SNPA
,	KC
út	DN
frá	DG
tí	PPNSD
,	KC
sum	CR
kom	VNAS3
fram	DN
á	DG
tingsins	SNSGA
røðarapalli	SMSD
,	KC
eins	C
og	C
hon	PPFSN
ikki	DN
vil	VNPS3
gera	VI
viðmerkingar	SFPA
til	DG
tað	PPNSA
,	KC
sum	CR
kom	VNAS3
fram	DN
í	DG
viðtalinum	SNSD
við	DG
Útvarpið	SNSAA
sunnudagin	SMSAA
.	KE

M.a.	TS
vístu	VNAP3
teir	PPMPN
á	DG
,	KC
at	C
tað	PPNSN
kostaði	VNAS3
virkjum	SNPD
kring	DG
landið	SNSAA
nógv	DN
meiri	DCN
at	CI
útflyta	VI
fisk	SMSA
,	KC
tí	C
tey	PPNPN
skuldu	VNAP3
fyrst	DSN
flyta	VI
hann	PPMSA
til	DG
Havnar	SFSGP
fyri	DG
egnu	APWFSA
rokning	SFSA
.	KE

Og	C
einaferð	DN
endaði	VNAS3
tað	PPNSN
við	DN
at	C
vit	PP1PN
fingu	VNAP1
ein	PBMSA
kunnandi	VP
fund	SMSA
við	DG
Anfinn	SMSAP
Kallsberg	SNSNP
,	KC
sum	CR
umsat	VNAS3
fiskivinnumál	SNPA
fyribils	DN
.	KE

-	KO
Verður	VNPS3
bara	DN
flutningur	SMSN
latin	VAMSN
til	DG
fesk	APSNPA
fløk	SNPA
,	KC
verða	VNPP3
øll	PBNPN
hini	PDNPN
virkini	SNPNA
nógv	DN
verri	DCN
fyri	DN
.	KE

Hann	PPMSN
heldur	VNPS3
,	KC
at	C
ein	PBFSN
orsøk	SFSN
til	DG
tað	PPNSA
er	VNPS3
,	KC
at	C
politikarar	SMPN
skilja	VNPP3
ikki	DN
trupulleikan	SMSAA
í	DG
fiskivinnuni	SFSDA
úti	DN
um	DG
landið	SNSAA
.	KE

Á	DG
nýggjárinum	SNSDA
var	VNAS3
hann	PPMSN
komin	VAMSN
niður	DN
á	DG
knappar	VNPS3
70	NR
túsund	NC
krónur	SFPA
.	KE

Í	DG
1999	NO
verður	VNPS3
landsliðið	SNSNA
fýra	NC
ferðir	SFPA
á	DG
heimavølli	SMSD
og	C
bara	DN
eina	PBFSA
ferð	SFSA
á	DG
útivølli	SMSD
.	KE

Sunnukvøldið	SNSAA
